    4    6    2    1
   12   13    6    4
   24   25   13   12
   39   42   25   24
   61   62   42   39
   84   88   62   61
  114  116   88   84
  145  149  116  114
  171  174  149  145
  196  197  174  171
  220  221  197  196
  242  244  221  220
  265  266  244  242
  288  289  266  265
  310  311  289  288
  331  333  311  310
  353  355  333  331
  375  377  355  353
  397  399  377  375
  419  421  399  397
    6    7    3    2
   13   16    7    6
   25   27   16   13
   42   44   27   25
   62   64   44   42
   88   90   64   62
  116  120   90   88
  149  151  120  116
  174  175  151  149
  197  200  175  174
  221  223  200  197
  244  245  223  221
  266  269  245  244
  289  291  269  266
  311  312  291  289
  333  334  312  311
  355  356  334  333
  377  378  356  355
  399  400  378  377
  421  422  400  399
    7    9    5    3
   16   17    9    7
   27   30   17   16
   44   46   30   27
   64   67   46   44
   90   92   67   64
  120  122   92   90
  151  152  122  120
  175  178  152  151
  200  202  178  175
  223  225  202  200
  245  248  225  223
  269  270  248  245
  291  292  270  269
  312  314  292  291
  334  336  314  312
  356  358  336  334
  378  380  358  356
  400  402  380  378
  422  424  402  400
    9   11    8    5
   17   20   11    9
   30   32   20   17
   46   50   32   30
   67   70   50   46
   92   97   70   67
  122  127   97   92
  152  155  127  122
  178  180  155  152
  202  204  180  178
  225  227  204  202
  248  249  227  225
  270  272  249  248
  292  294  272  270
  314  315  294  292
  336  337  315  314
  358  359  337  336
  380  381  359  358
  402  403  381  380
  424  425  403  402
   11   15   10    8
   20   22   15   11
   32   35   22   20
   50   52   35   32
   70   74   52   50
   97  100   74   70
  127  130  100   97
  155  158  130  127
  180  182  158  155
  204  205  182  180
  227  228  205  204
  249  252  228  227
  272  274  252  249
  294  295  274  272
  315  317  295  294
  337  339  317  315
  359  361  339  337
  381  383  361  359
  403  405  383  381
  425  426  405  403
   15   18   14   10
   22   26   18   15
   35   38   26   22
   52   56   38   35
   74   78   56   52
  100  102   78   74
  130  134  102  100
  158  161  134  130
  182  185  161  158
  205  208  185  182
  228  231  208  205
  252  253  231  228
  274  275  253  252
  295  297  275  274
  317  319  297  295
  339  340  319  317
  361  362  340  339
  383  384  362  361
  405  406  384  383
  426  427  406  405
   18   21   19   14
   26   31   21   18
   38   43   31   26
   56   60   43   38
   78   80   60   56
  102  108   80   78
  134  138  108  102
  161  163  138  134
  185  187  163  161
  208  210  187  185
  231  232  210  208
  253  255  232  231
  275  277  255  253
  297  298  277  275
  319  320  298  297
  340  342  320  319
  362  364  342  340
  384  386  364  362
  406  407  386  384
  427  428  407  406
   21   28   23   19
   31   36   28   21
   43   48   36   31
   60   65   48   43
   80   86   65   60
  108  111   86   80
  138  141  111  108
  163  166  141  138
  187  190  166  163
  210  212  190  187
  232  235  212  210
  255  257  235  232
  277  278  257  255
  298  300  278  277
  320  322  300  298
  342  344  322  320
  364  366  344  342
  386  387  366  364
  407  408  387  386
  428  429  408  407
   28   33   29   23
   36   40   33   28
   48   54   40   36
   65   71   54   48
   86   91   71   65
  111  119   91   86
  141  144  119  111
  166  169  144  141
  190  191  169  166
  212  214  191  190
  235  237  214  212
  257  258  237  235
  278  280  258  257
  300  302  280  278
  322  324  302  300
  344  345  324  322
  366  367  345  344
  387  388  367  366
  408  409  388  387
  429  430  409  408
   33   37   34   29
   40   47   37   33
   54   57   47   40
   71   77   57   54
   91   99   77   71
  119  123   99   91
  144  150  123  119
  169  173  150  144
  191  194  173  169
  214  217  194  191
  237  238  217  214
  258  260  238  237
  280  282  260  258
  302  303  282  280
  324  325  303  302
  345  347  325  324
  367  368  347  345
  388  389  368  367
  409  410  389  388
  430  431  410  409
   37   45   41   34
   47   53   45   37
   57   66   53   47
   77   81   66   57
   99  104   81   77
  123  131  104   99
  150  154  131  123
  173  176  154  150
  194  198  176  173
  217  218  198  194
  238  240  218  217
  260  262  240  238
  282  283  262  260
  303  305  283  282
  325  327  305  303
  347  348  327  325
  368  369  348  347
  389  390  369  368
  410  411  390  389
  431  432  411  410
   45   51   49   41
   53   59   51   45
   66   72   59   53
   81   89   72   66
  104  109   89   81
  131  137  109  104
  154  159  137  131
  176  181  159  154
  198  203  181  176
  218  222  203  198
  240  243  222  218
  262  263  243  240
  283  285  263  262
  305  307  285  283
  327  328  307  305
  348  349  328  327
  369  370  349  348
  390  391  370  369
  411  412  391  390
  432  433  412  411
   51   58   55   49
   59   68   58   51
   72   79   68   59
   89   98   79   72
  109  118   98   89
  137  142  118  109
  159  164  142  137
  181  186  164  159
  203  206  186  181
  222  226  206  203
  243  247  226  222
  263  267  247  243
  285  287  267  263
  307  308  287  285
  328  329  308  307
  349  350  329  328
  370  371  350  349
  391  392  371  370
  412  413  392  391
  433  434  413  412
   58   69   63   55
   68   75   69   58
   79   87   75   68
   98  105   87   79
  118  126  105   98
  142  146  126  118
  164  167  146  142
  186  189  167  164
  206  209  189  186
  226  230  209  206
  247  250  230  226
  267  271  250  247
  287  290  271  267
  308  309  290  287
  329  330  309  308
  350  351  330  329
  371  372  351  350
  392  393  372  371
  413  414  393  392
  434  435  414  413
   69   76   73   63
   75   83   76   69
   87   96   83   75
  105  110   96   87
  126  133  110  105
  146  153  133  126
  167  172  153  146
  189  192  172  167
  209  213  192  189
  230  233  213  209
  250  254  233  230
  271  273  254  250
  290  293  273  271
  309  313  293  290
  330  332  313  309
  351  352  332  330
  372  373  352  351
  393  394  373  372
  414  415  394  393
  435  436  415  414
   76   85   82   73
   83   93   85   76
   96  106   93   83
  110  121  106   96
  133  140  121  110
  153  160  140  133
  172  179  160  153
  192  195  179  172
  213  216  195  192
  233  236  216  213
  254  256  236  233
  273  276  256  254
  293  296  276  273
  313  316  296  293
  332  335  316  313
  352  354  335  332
  373  374  354  352
  394  395  374  373
  415  416  395  394
  436  437  416  415
   85   95   94   82
   93  101   95   85
  106  113  101   93
  121  132  113  106
  140  147  132  121
  160  165  147  140
  179  183  165  160
  195  201  183  179
  216  219  201  195
  236  239  219  216
  256  259  239  236
  276  279  259  256
  296  299  279  276
  316  318  299  296
  335  338  318  316
  354  357  338  335
  374  376  357  354
  395  396  376  374
  416  417  396  395
  437  438  417  416
   95  107  103   94
  101  112  107   95
  113  125  112  101
  132  139  125  113
  147  156  139  132
  165  170  156  147
  183  188  170  165
  201  207  188  183
  219  224  207  201
  239  241  224  219
  259  261  241  239
  279  281  261  259
  299  301  281  279
  318  321  301  299
  338  341  321  318
  357  360  341  338
  376  379  360  357
  396  398  379  376
  417  418  398  396
  438  439  418  417
  107  117  115  103
  112  124  117  107
  125  135  124  112
  139  148  135  125
  156  162  148  139
  170  177  162  156
  188  193  177  170
  207  211  193  188
  224  229  211  207
  241  246  229  224
  261  264  246  241
  281  284  264  261
  301  304  284  281
  321  323  304  301
  341  343  323  321
  360  363  343  341
  379  382  363  360
  398  401  382  379
  418  420  401  398
  439  440  420  418
  117  129  128  115
  124  136  129  117
  135  143  136  124
  148  157  143  135
  162  168  157  148
  177  184  168  162
  193  199  184  177
  211  215  199  193
  229  234  215  211
  246  251  234  229
  264  268  251  246
  284  286  268  264
  304  306  286  284
  323  326  306  304
  343  346  326  323
  363  365  346  343
  382  385  365  363
  401  404  385  382
  420  423  404  401
  440  441  423  420
