        1         2         3
      295       310       302
      253       249       242
       93       104        98
      396       388       383
       33        38        35
      445       443       444
      212       209       191
      187       208       198
      321       313       308
       13        17        15
      345       358       351
      231       226       217
      138       148       144
      357       346       344
       59        68        62
      431       425       424
      194       193       178
      246       257       252
      285       275       271
        4         8         7
      322       334       329
      243       238       230
      114       125       121
      377       364       362
       45        53        48
      440       436       437
      201       197       181
      220       232       229
      303       292       288
       21        27        24
      374       385       379
      221       216       207
      160       172       165
      337       331       325
       76        85        81
      417       410       403
      190       189       173
      268       281       274
      269       260       254
        2         4         5
      310       322       315
      249       243       237
      104       114       108
      388       377       376
       38        45        42
      443       440       441
      209       201       188
      208       220       214
      313       303       296
       17        21        19
      358       374       363
      226       221       213
      148       160       154
      346       337       332
       68        76        71
      425       417       416
      193       190       175
      257       268       264
      275       269       263
        8        13        11
      334       345       338
      238       231       223
      125       138       131
      364       357       353
       53        59        56
      436       431       430
      197       194       179
      232       246       239
      292       285       280
       27        33        30
      385       395       397
      216       212       195
      172       187       180
      331       321       317
       85        93        88
      410       396       394
      189       186       168
      281       295       287
      260       253       248
      354       361       366
      328       316       319
      330       343       339
      368       360       378
      294       298       284
      369       373       386
      352       341       350
      306       297       289
      307       318       304
      361       369       381
      316       306       300
      343       354       355
      360       352       365
      298       307       291
      373       368       382
      341       328       336
      297       294       282
      318       330       320
      302       310       315
      302       315       311
      325       331       317
      325       317       309
      430       431       424
      430       424       423
      252       257       264
      252       264       262
       19        21        24
       19        24        26
       15        17        19
       15        19        26
      237       243       230
      237       230       219
       88        93        98
       88        98        95
      437       436       430
      437       430       434
      264       268       274
      264       274       262
       35        38        42
       35        42        37
      274       281       287
      274       287       286
       30        33        35
       30        35        37
      230       238       223
      230       206       219
      332       337       325
      332       325       309
      344       346       332
      344       332       339
       24        27        30
       24        30        26
      441       440       437
      441       437       434
      223       231       217
      223       217       206
       98       104       108
       98       108        95
      403       410       394
      403       381       386
      239       246       252
      239       252       235
        7         8        11
        7        11        12
      213       221       207
      213       207       185
      217       226       213
      217       213       185
      376       377       362
      376       355       366
      287       295       302
      287       302       286
      229       232       239
      229       239       235
       11        13        15
       11        15        12
      198       208       214
      198       214       202
        5         4         7
        5         7        12
      180       187       198
      180       198       202
      362       364       353
      362       353       355
      362       355       376
      416       417       403
      416       403       407
      424       425       416
      424       416       423
      207       216       195
      207       195       185
      214       220       229
      214       229       235
      353       357       344
      353       344       339
      242       249       237
      242       237       219
       81        85        88
       81        88        95
      179       194       178
      179       178       161
      271       275       263
      271       263       251
      363       374       379
      363       379       375
      351       358       363
      351       363       375
      108       114       121
      108       121       118
      394       396       383
      394       383       381
      181       197       179
      181       179       161
      263       269       254
      263       254       251
      191       209       188
      191       188       166
      254       260       248
      254       248       234
      195       212       191
      195       191       166
      121       125       131
      121       131       118
       71        76        81
       71        81        72
       62        68        71
       62        71        72
      379       385       397
      188       201       181
      188       181       166
      131       138       144
      131       144       139
      383       388       376
      383       376       366
      366       355       354
      173       189       168
      280       285       271
      280       271       270
      329       334       338
      329       338       335
      154       160       165
      154       165       162
      144       148       154
      144       154       162
       42        45        48
       42        55        37
      248       253       242
      248       242       234
      288       292       280
      288       280       270
      338       345       351
      338       351       335
      308       313       296
      308       296       293
      315       322       329
      315       329       335
      317       321       308
      317       308       293
       48        53        56
       48        56        55
      175       190       173
      175       173       153
      178       193       175
      178       175       161
      165       172       180
      165       180       162
      296       303       288
      296       288       270
       56        59        62
       56        62        55
      443       441       444
        2         5         3
      438       439       433
       43        34        40
      412       415       399
      127       115       122
      404       406       387
       16        10        14
      427       428       418
       79        70        75
      398       400       375
      442       444       441
       28        22        25
      419       422       409
      102        89        97
      408       411       392
      155       141       153
        6         3         5
      432       435       426
       60        50        57
      397       398       379
      439       442       434
       34        28        32
      415       419       405
      115       102       107
      406       408       389
      168       155       173
       10         6         9
      428       432       421
       70        60        65
      400       404       384
       22        16        18
      422       427       413
       89        79        87
      411       412       393
      141       127       136
      435       438       429
       50        43        47
      366       361       381
      304       318       320
      282       294       284
      284       298       291
      365       352       350
      339       343       355
      350       341       336
      300       306       289
      382       368       378
      319       316       300
      381       369       386
      320       330       339
      386       373       382
      291       307       304
      378       360       365
      289       297       282
      336       328       319
      355       353       339
      383       366       381
      433       439       434
       25        22        18
       25        18        23
      107       102        97
      107        97       105
       87        79        75
       87        75        84
      387       406       389
      387       389       367
      426       435       429
      426       429       414
       65        60        57
       65        57        61
       47        43        40
       47        40        46
      399       415       405
      399       405       380
       97        89        87
       97        87       105
        9         6         5
      136       127       122
      136       122       128
      418       428       421
      418       421       401
       32        28        25
       32        25        23
       18        16        14
       18        14        23
       40        34        32
       40        32        46
      409       422       413
      409       413       391
      389       408       392
      389       392       367
      393       412       399
      393       399       380
       14        10         9
       14         9        12
       57        50        47
       57        47        61
      384       404       387
      384       387       359
      122       115       107
      122       107       105
      392       411       393
      392       393       371
      421       432       426
      421       426       414
      429       438       433
      429       420       414
       75        70        65
       75        65        84
      405       419       409
      405       409       391
      413       427       418
      413       418       401
      141       136       153
      400       384       375
      382       378       402
      336       319       326
      365       350       372
      386       382       407
      282       284       261
      350       336       348
      381       403       394
      378       365       390
      304       320       309
      319       300       301
      291       304       283
      284       291       267
      300       289       279
      320       339       332
      289       282       266
      311       315       335
       72        81        95
      175       153       161
      441       434       442
      139       144       162
      309       317       293
      223       206       230
      270       271       251
      274       286       262
      293       296       270
       48        55        42
      302       311       286
      206       217       185
      108       118        95
      235       252       262
      434       430       423
      375       379       398
      254       234       251
      202       214       235
      131       139       118
      153       173       155
      402       378       390
      261       284       267
      283       304       309
      372       350       348
      390       365       372
      279       289       266
      326       319       301
      348       336       326
      267       291       283
      407       382       402
      301       300       279
      266       282       261
      386       407       403
       12         9         5
      433       434       420
      153       136       128
      375       384       359
      391       413       401
      380       405       391
      128       122       105
      392       371       367
      401       421       414
       87        84       105
       47        46        61
       65        61        84
      371       393       380
      402       390       414
      414       390       401
      402       414       420
      402       420       407
      279       266       256
      372       348       370
      348       326       342
      266       261       244
      261       267       245
      326       301       312
      301       279       277
      390       372       401
      267       283       259
      420       429       433
      420       434       423
      420       423       407
      407       423       416
      359       387       367
      359       367       340
      375       359       335
      256       266       244
      342       326       312
      245       267       259
      277       279       256
      370       348       342
      244       261       245
      312       301       277
      259       283       273
      372       370       401
      340       367       347
      359       340       335
      273       283       309
      259       273       250
      347       367       371
      347       371       349
      340       347       324
      349       371       380
      347       349       327
      327       349       333
      347       327       324
      324       327       305
      305       327       314
      324       305       299
      314       327       333
      314       333       312
      305       314       290
      299       305       278
      324       299       323
      314       312       290
      278       305       290
      323       299       311
      299       278       276
      324       323       340
      340       323       335
      276       278       258
      299       276       311
      250       273       270
      259       250       233
      311       335       323
      293       270       273
      293       273       309
      202       235       224
      224       235       258
      202       224       196
      196       224       218
      202       196       162
      218       224       241
      196       218       184
      241       224       258
      241       258       265
      265       258       278
      265       278       290
      241       265       247
      247       265       272
      241       247       218
      272       265       290
      272       290       312
      247       272       255
      184       218       211
      255       272       277
      255       277       256
      255       256       236
      236       256       228
      255       236       247
      211       218       247
      184       211       177
      177       211       204
      184       177       159
      204       211       236
      159       177       152
      184       159       164
      152       177       174
      159       152       137
      164       159       143
      174       177       204
      137       152       132
      159       137       143
      132       152       150
      137       132       116
      143       137       119
      150       152       174
      132       150       129
      116       132       111
      119       137       116
      150       174       170
      129       150       149
      111       132       129
      170       174       200
      150       170       149
      111       129       109
      200       174       204
      149       170       171
      109       129       130
      111       109        92
      171       170       199
      149       171       151
       92       109        94
      171       199       203
      151       171       176
       94       109       113
      203       199       227
      176       171       203
      113       109       130
      227       199       225
      113       130       135
      225       199       200
      227       225       245
      227       245       233
      135       130       151
      200       199       170
      151       130       149
      135       151       156
      149       130       129
      156       151       176
      156       176       182
      182       176       210
      156       182       163
      210       176       203
      163       182       192
      210       203       233
      192       182       215
      215       182       210
      192       215       222
      215       210       250
      222       215       240
      240       215       250
      222       240       251
      251       240       270
      135       156       140
      140       156       163
      135       140       117
      140       163       146
      117       140       124
      146       163       169
      140       146       124
      169       163       192
      124       146       133
      169       192       205
      133       146       157
      205       192       222
      169       205       183
      157       146       169
      183       205       219
      219       205       234
      183       219       206
      183       206       167
      167       206       185
      183       167       157
      157       167       145
      145       167       158
      157       145       133
      133       145       123
      158       167       185
      158       185       166
      145       158       134
      123       145       134
      123       134       112
      133       123       110
      112       134       126
      123       112       101
      110       123       101
      133       110       124
      124       110       103
      103       110        90
      124       103       117
      117       103        99
       90       110       101
       90       101        83
       99       103        86
      117        99       113
      113        99        94
       94        99        80
       83       101        91
       90        83        73
       80        99        86
       80        86        69
       69        86        73
       73        86        90
       69        73        58
       90        86       103
       58        73        67
       69        58        54
       80        69        64
       94        80        77
       58        67        49
       69        54        64
       64        54        51
       67        73        83
       67        83        74
       74        83        91
       67        74        61
       74        91        84
       54        58        44
       51        54        41
       64        51        63
       80        64        77
       77        64        63
       77        63        78
       78        63        66
       77        78        92
       92        78        96
       96        78        82
       92        96       111
      111        96       116
      134       158       147
       91       101       112
       94        77        92
       82        78        66
       82        66        72
       82        72        95
      112       126       106
       58        49        44
       54        44        41
       41        44        31
       31        44        36
       41        31        29
      126       134       147
      126       147       142
       49        67        61
       96        82       100
       66        63        52
       51        41        39
       63        51        52
       52        51        39
      142       147       166
      166       147       158
      126       142       120
      169       183       157
      135       117       113
      205       222       234
      234       222       251
       39        41        29
       39        29        26
       26        29        20
       20        29        31
       26        20        15
       95       118       119
      119       118       139
      196       184       164
      196       164       162
      162       164       143
      233       250       210
      112       106        91
      161       153       128
      119       116       100
       31        36        23
      286       311       276
      286       276       262
      200       204       228
      228       204       236
      228       256       244
      200       228       225
      225       228       244
      225       244       245
      203       227       233
      126       120       106
      333       349       356
      356       349       380
      333       356       342
      342       356       370
      333       342       312
       36        44        49
       37        55        52
      259       233       245
       96       100       116
      120       142       128
      120       128       105
      120       105       106
      235       262       258
      139       162       143
      139       143       119
      276       258       262
       66        52        55
      100        82        95
      100        95       119
      277       272       312
       52        39        37
       91       106        84
       37        39        26
       31        23        20
       66        55        72
       23        36        32
       36        49        46
       46        49        61
      309       320       332
      356       380       391
      106       105        84
       36        46        32
       62        72        55
      181       161       166
      162       180       202
       26        30        37
      195       166       185
      335       351       375
      242       219       234
       12        15        20
       12        20        14
      128       142       161
      161       142       166
      240       250       270
       61        74        84
      370       356       391
      370       391       401
       23        14        20
      236       211       247
