 1908 1904 1887 1890
 1577 1576 1551 1552
 1582 1577 1552 1555
 1887 1869 1871 1890
 1584 1582 1555 1560
 1589 1584 1560 1564
 1592 1589 1564 1573
 1602 1592 1573 1580
 1608 1602 1580 1587
 1616 1608 1587 1595
 1626 1616 1595 1607
 1634 1626 1607 1621
 1646 1634 1621 1630
 1655 1646 1630 1643
 1664 1655 1643 1652
 1676 1664 1652 1662
 1688 1676 1662 1677
 1700 1688 1677 1690
 1711 1700 1690 1703
 1722 1711 1703 1716
 1738 1722 1716 1730
 1750 1738 1730 1741
 1766 1750 1741 1756
 1780 1766 1756 1772
 1792 1780 1772 1788
 1809 1792 1788 1806
 1825 1809 1806 1819
 1836 1825 1819 1838
 1853 1836 1838 1856
 1869 1853 1856 1871
 1551 1527 1528 1552
 1910 1908 1890 1891
 1527 1506 1507 1528
 1506 1476 1477 1507
 1915 1910 1891 1895
 1476 1448 1451 1477
 1448 1418 1420 1451
 1418 1396 1400 1420
 1918 1915 1895 1897
 1396 1368 1370 1400
 1368 1336 1335 1370
 1921 1918 1897 1899
 1336 1307 1304 1335
 1307 1277 1274 1304
 1277 1249 1245 1274
 1925 1921 1899 1901
 1249 1218 1215 1245
 1218 1190 1185 1215
 1929 1925 1901 1906
 1190 1160 1156 1185
 1160 1133 1129 1156
 1133 1101 1100 1129
 1933 1929 1906 1911
 1101 1070 1073 1100
 1070 1038 1043 1073
 1937 1933 1911 1917
 1038 1006 1009 1043
 1006  973  975 1009
  973  946  947  975
 1941 1937 1917 1923
  946  911  910  947
  911  877  876  910
 1946 1941 1923 1928
  877  840  839  876
  840  805  806  839
 1950 1946 1928 1935
  805  771  773  806
  771  728  729  773
  728  681  683  729
 1955 1950 1935 1940
  681  637  638  683
  637  598  599  638
 1987 1986 1982 1984
 1959 1955 1940 1945
 1986 1985 1980 1982
 1964 1959 1945 1952
 1985 1983 1977 1980
 1967 1964 1952 1956
 1983 1981 1974 1977
 1971 1967 1956 1961
 1981 1978 1970 1974
 1975 1971 1961 1966
 1978 1975 1966 1970
  598  560  562  599
  560  514  515  562
    1    2    4    3
  680  732  734  682
 1979 1984 1982 1976
    2    5    7    4
  635  680  682  636
 1972 1979 1976 1968
    5   10   12    7
  594  635  636  596
  734  736  688  682
 1962 1972 1968 1957
   10   16   18   12
  552  594  596  558
  736  741  692  688
 1949 1962 1957 1942
   16   25   27   18
  510  552  558  511
  741  744  697  692
 1931 1949 1942 1922
   25   35   34   27
  469  510  511  473
  744  751  706  697
 1907 1931 1922 1894
   35   48   47   34
  428  469  473  431
  751  763  713  706
 1880 1907 1894 1866
   48   60   59   47
  391  428  431  396
  763  769  724  713
 1851 1880 1866 1841
   60   75   74   59
  359  391  396  361
  769  781  737  724
 1828 1851 1841 1815
   75   92   91   74
  328  359  361  329
  781  791  748  737
 1802 1828 1815 1791
   92  111  110   91
  296  328  329  298
  791  802  766  748
 1779 1802 1791 1769
  111  131  129  110
  270  296  298  272
  802  817  779  766
 1754 1779 1769 1744
  131  151  150  129
  245  270  272  246
  817  831  796  779
 1727 1754 1744 1720
  151  171  172  150
  216  245  246  218
  831  845  807  796
 1705 1727 1720 1697
  171  192  193  172
  192  216  218  193
  845  858  828  807
 1684 1705 1697 1674
  858  879  842  828
 1661 1684 1674 1650
  879  893  861  842
 1635 1661 1650 1625
  893  919  882  861
 1609 1635 1625 1593
  919  936  903  882
 1575 1609 1593 1558
  936  958  926  903
 1544 1575 1558 1522
